name
Alabama Agricultural and Mechanical University
Fisk University
Howard University
Morehouse College
Texas Southern University
Alabama State University
Albany State University
Alcorn State University
Allen University
American Baptist College
Arkansas Baptist College
Benedict College
Bennett College
Bethune-Cookman University
Bishop State Community College
Bluefield State College
Bowie State University
Central State University
Charles R Drew University of Medicine and Science
Cheyney University of Pennsylvania
Claflin University
Clark Atlanta University
Clinton College
Coahoma Community College
Coppin State University
Delaware State University
Denmark Technical College
Dillard University
Edward Waters College
Elizabeth City State University
Fayetteville State University
Florida Agricultural and Mechanical University
Florida Memorial University
Fort Valley State University
Gadsden State Community College
Grambling State University
H Councill Trenholm State Community College
Hampton University
Harris-Stowe State University
Hinds Community College
Huston-Tillotson University
J. F. Drake State Community and Technical College
Jackson State University
Jarvis Christian College
Johnson C Smith University
Kentucky State University
Lane College
Langston University
Lawson State Community College
Le Moyne-Owen College
Lincoln University
Lincoln University
Livingstone College
Meharry Medical College
Miles College
Mississippi Valley State University
Morehouse School of Medicine
Morgan State University
Morris Brown College
Morris College
Norfolk State University
North Carolina A & T State University
North Carolina Central University
Oakwood University
Paine College
Paul Quinn College
Philander Smith College
Prairie View A & M University
Rust College
Saint Augustine's University
Savannah State University
Shaw University
Shelton State Community College
Shorter College
Simmons College of Kentucky
South Carolina State University
Southern University and A & M College
Southern University at New Orleans
Southern University at Shreveport
Southwestern Christian College
Spelman College
St Philip's College
Stillman College
Talladega College
Tennessee State University
Texas College
Tougaloo College
Tuskegee University
University of Arkansas at Pine Bluff
University of Maryland Eastern Shore
University of the District of Columbia
University of the Virgin Islands
Virginia State University
Virginia Union University
Virginia University of Lynchburg
Voorhees College
West Virginia State University
Wilberforce University
Wiley College
Winston-Salem State University
Xavier University of Louisiana
